course,year,term,url
p4a,2026,Spring,https://p4a.seas.gwu.edu/2026-Spring/
p4a,2025,Spring,https://p4a.seas.gwu.edu/2025-Spring/
p4a,2024,Spring,https://p4a.seas.gwu.edu/2024-Spring/
p4a,2023,Spring,https://p4a.seas.gwu.edu/2023-Spring/
p4a,2022,Spring,https://p4a.seas.gwu.edu/2022-Spring/
p4a,2020,Fall,https://p4a.seas.gwu.edu/2020-Fall/
p4a,2019,Fall,https://p4a.seas.gwu.edu/2019-Fall/
eda,2026,Fall,https://eda.seas.gwu.edu/2026-Fall/
eda,2025,Fall,https://eda.seas.gwu.edu/2025-Fall/
eda,2024,Fall,https://eda.seas.gwu.edu/2024-Fall/
eda,2023,Fall,https://eda.seas.gwu.edu/2023-Fall/
eda,2022,Fall,https://eda.seas.gwu.edu/2022-Fall/
eda,2021,Spring,https://eda.seas.gwu.edu/2021-Spring/
eda,2020,Spring,https://eda.seas.gwu.edu/2020-Spring/
madd,2026,Fall,https://madd.seas.gwu.edu/2026-Fall/
madd,2025,Fall,https://madd.seas.gwu.edu/2025-Fall/
madd,2024,Fall,https://madd.seas.gwu.edu/2024-Fall/
madd,2023,Fall,https://madd.seas.gwu.edu/2023-Fall/
madd,2022,Fall,https://madd.seas.gwu.edu/2022-Fall/
madd,2021,Fall,https://madd.seas.gwu.edu/2021-Fall/
madd,2019,Spring,
